Order Date,Region,Category,Sales,Profit
2023-08-10,West,Furniture,3891.25,-213.47
2023-06-20,Central,Office Supplies,3252.76,-561.02
2023-01-24,West,Furniture,2633.27,540.06
2023-11-30,South,Furniture,3523.57,738.62
2023-02-03,South,Furniture,1243.08,354.96
2023-04-28,West,Office Supplies,3719.54,396.96
2023-08-10,West,Technology,168.33,7.11
2023-08-31,East,Technology,2480.99,35.03
2023-12-25,Central,Furniture,801.67,-87.28
2023-06-01,South,Furniture,4721.99,235.53
2023-10-29,West,Office Supplies,3671.01,-372.67
2023-02-02,South,Furniture,2114.49,340.64
2023-10-23,West,Technology,3180.16,926.7
2023-09-28,East,Furniture,1158.09,207.55
2023-01-02,Central,Furniture,1319.26,-192.25
2023-04-18,East,Furniture,2131.25,575.98
2023-02-08,East,Technology,907.48,208.99
2023-02-20,West,Furniture,1632.17,442.26
2023-06-07,West,Office Supplies,3964.39,-479.89
2023-10-06,East,Technology,600.66,5.38
2023-05-15,Central,Office Supplies,3799.11,-460.81
2023-04-21,East,Technology,1859.04,-80.95
2023-02-05,West,Technology,1962.26,484.63
2023-06-11,South,Office Supplies,2886.98,488.62
2023-01-30,West,Furniture,2005.35,121.47
2023-11-04,Central,Office Supplies,2229.19,535.7
2023-07-11,South,Furniture,324.12,-50.54
2023-06-17,East,Furniture,3041.86,-136.2
2023-01-06,West,Furniture,1848.84,178.49
2023-10-25,West,Office Supplies,825.54,-4.66
2023-05-22,West,Office Supplies,2655.37,480.08
2023-01-16,West,Technology,2147.64,510.06
2023-09-06,Central,Technology,4499.93,-248.97
2023-01-15,East,Office Supplies,2107.03,-163.84
2023-05-27,East,Technology,1552.37,414.02
2023-11-25,Central,Furniture,729.52,-140.29
2023-12-31,West,Technology,4648.0,1117.34
2023-08-01,East,Technology,1313.32,-182.35
2023-11-09,West,Furniture,2150.94,292.86
2023-03-24,West,Office Supplies,4494.84,-103.66
2023-01-10,West,Furniture,2302.14,-448.17
2023-07-17,Central,Technology,630.83,-77.78
2023-09-27,Central,Technology,1003.66,221.24
2024-01-01,East,Furniture,1540.89,326.57
2023-12-21,Central,Office Supplies,316.86,31.84
2023-11-12,East,Technology,4550.32,-93.52
2023-07-31,East,Furniture,2071.7,71.99
2023-12-05,Central,Technology,1310.06,45.45
2023-11-20,East,Technology,4411.51,553.96
2023-10-13,Central,Office Supplies,365.41,97.49
2023-11-25,Central,Furniture,761.11,100.2
2023-12-21,South,Office Supplies,3249.78,743.05
2023-05-30,Central,Technology,159.72,-17.12
2023-03-06,South,Furniture,4085.26,456.15
2023-12-21,Central,Office Supplies,68.81,20.15
2023-02-26,Central,Office Supplies,4605.64,1205.21
2023-06-12,East,Office Supplies,2828.51,-185.83
2023-01-14,West,Technology,3360.35,929.74
2023-04-01,Central,Technology,630.2,-7.95
2023-07-28,South,Furniture,2602.92,194.52
2023-07-14,South,Office Supplies,1623.33,267.47
2023-02-18,South,Office Supplies,2724.02,-31.86
2023-10-10,East,Furniture,2063.17,-23.49
2023-04-18,South,Technology,3323.66,-553.03
2023-09-23,South,Office Supplies,3940.62,308.54
2023-04-05,South,Office Supplies,444.57,112.62
2023-04-04,South,Technology,752.3,-0.34
2023-04-02,Central,Office Supplies,3549.15,-568.89
2023-08-18,South,Office Supplies,4022.36,-251.22
2023-03-06,East,Furniture,3608.65,-367.79
2023-06-05,Central,Furniture,3595.75,882.46
2023-05-27,West,Office Supplies,1199.61,302.27
2023-08-10,Central,Office Supplies,3836.77,215.19
2023-07-24,West,Technology,4360.06,892.77
2023-03-21,East,Technology,626.81,-12.36
2023-07-04,East,Office Supplies,3650.83,927.83
2023-03-15,Central,Office Supplies,896.68,122.03
2023-12-23,South,Furniture,4007.73,-732.57
2023-11-26,East,Office Supplies,681.9,171.44
2023-10-08,Central,Furniture,4274.25,257.27
2023-03-28,East,Furniture,1871.5,339.98
2023-03-21,East,Furniture,3135.3,-434.37
2023-04-19,Central,Furniture,4968.57,-651.67
2023-09-15,West,Office Supplies,1415.07,264.41
2023-03-04,West,Office Supplies,1620.4,49.94
2023-12-31,West,Furniture,2746.68,240.05
2023-01-16,West,Furniture,2966.84,267.81
2023-02-15,East,Furniture,3025.04,234.15
2023-10-26,Central,Technology,4939.62,-245.95
2023-06-15,South,Furniture,4079.8,-56.54
2023-11-19,West,Furniture,2126.75,627.04
2023-02-04,South,Office Supplies,2937.37,759.58
2023-11-07,East,Technology,228.27,44.92
2023-11-29,Central,Furniture,3118.6,569.41
2023-02-04,Central,Furniture,2769.54,717.93
2023-08-15,West,Office Supplies,1096.16,237.92
2023-11-10,South,Technology,560.05,150.65
2023-03-21,Central,Office Supplies,3568.28,609.35
2023-02-20,South,Technology,4674.2,-593.23
2023-10-20,South,Office Supplies,2343.8,8.94
